,AgentID,Step,Age,Edu_level,Gender,Income,Generation,Cohort,Weight,Capital,Brut,Child1,Child2,Mother,Father,Partner,Education,Cultural,Economic,Social,Child1_Edu,Child2_Edu,Child1_Income,Child2_Income,Mother_Edu,Father_Edu,Mother_Income,Father_Income,Spouse_Edu,Mother_Cultural,Mother_Economic,Mother_Social,Father_Cultural,Father_Economic,Father_Social,Scenario,Replication
0,0,13,59,5,M,544.328,1,2,"[8, 4, 5]","['0.9', '0.476', '0.286']",128.0,571,696,,,166.0,Upper Tertiary,0.9,0.476,0.286,5,1,559.647,289.374,,,,,5.0,,,,,,,1,6
1,1,13,52,1,F,114.662,1,2,"[3, 7, 9]","['0.13', '0.122', '0.991']",447.0,514,612,,,450.0,Primary,0.13,0.122,0.991,1,1,120.464,689.194,,,,,1.0,,,,,,,1,6
2,10,11,60,3,M,532.392,1,2,"[7, 6, 8]","['0.51', '0.532', '0.498']",241.0,,,,,186.0,Upper Secondary,0.51,0.532,0.498,,,,,,,,,3.0,,,,,,,1,6
3,100,13,58,5,F,654.743,1,2,"[5, 2, 5]","['0.75', '0.491', '0.311']",146.0,634,663,,,19.0,Upper Tertiary,0.75,0.491,0.311,4,1,462.262,218.041,,,,,5.0,,,,,,,1,6
4,1000,52,58,1,M,387.54,4,6,"[1, 1, 2]","['0.11', '0.266', '0.514']",216.0,1169,1179,868,878,999.0,Primary,0.11,0.266,0.514,1,1,552.839,693.824,1,1,655.591,631.896,1.0,0.2,0.574,0.61,0.13,0.553,0.488,1,6
5,1001,51,56,1,F,588.945,4,6,"[3, 7, 6]","['0.13', '0.626', '0.548']",230.0,1150,1190,869,845,954.0,Primary,0.13,0.626,0.548,1,1,632.861,761.998,1,1,611.85,780.821,1.0,0.15,0.535,0.635,0.2,0.537,0.597,1,6
6,1002,52,58,3,M,372.834,5,6,"[6, 8, 6]","['0.48', '0.419', '0.271']",114.0,1144,1204,861,839,973.0,Upper Secondary,0.48,0.419,0.271,2,1,674.271,341.688,3,2,255.938,464.107,3.0,0.57,0.272,0.488,0.4,0.406,0.29,1,6
7,1003,40,34,1,F,529.829,4,5,"[8, 9, 8]","['0.18', '0.629', '0.568']",239.0,1167,1196,775,770,980.0,Primary,0.18,0.629,0.568,1,1,525.87,688.464,1,1,531.709,637.829,1.0,0.17,0.598,0.653,0.16,0.638,0.451,1,6
8,1004,50,54,2,F,658.693,4,6,"[5, 7, 6]","['0.3', '0.7', '0.659']",278.0,1152,1195,864,865,1034.0,Lower Secondary,0.3,0.7,0.659,1,2,627.585,552.68,2,1,623.126,350.436,1.0,0.3,0.467,0.65,0.18,0.263,0.613,1,6
9,1005,43,40,1,M,292.304,4,5,"[3, 1, 7]","['0.13', '0.201', '0.476']",201.0,1184,1239,764,830,1062.0,Primary,0.13,0.201,0.476,1,1,629.247,702.936,1,1,168.086,76.695,1.0,0.18,0.116,0.954,0.2,0.091,0.847,1,6
10,1006,40,34,1,M,798.383,4,5,"[4, 5, 10]","['0.14', '0.748', '0.566']",239.0,1163,1200,740,736,1023.0,Primary,0.14,0.748,0.566,1,1,784.031,505.261,1,1,524.954,796.058,1.0,0.14,0.656,0.651,0.18,0.796,0.699,1,6
11,1007,50,54,1,M,308.135,4,6,"[2, 3, 9]","['0.12', '0.25', '0.707']",299.0,1207,1230,832,768,1044.0,Primary,0.12,0.25,0.707,1,1,718.358,425.218,1,1,116.748,97.238,1.0,0.11,0.109,0.805,0.12,0.091,0.86,1,6
12,1008,49,52,2,F,632.194,4,6,"[3, 6, 8]","['0.26', '0.632', '0.998']",421.0,1170,1211,791,799,964.0,Lower Secondary,0.26,0.632,0.998,1,1,48.792,61.736,2,2,782.548,95.976,2.0,0.4,0.538,0.845,0.4,0.084,0.827,1,6
13,1009,50,54,1,M,754.09,4,6,"[9, 10, 3]","['0.19', '0.943', '0.65']",275.0,1188,1225,772,763,1036.0,Primary,0.19,0.943,0.65,1,1,793.384,779.653,1,1,703.275,612.542,1.0,0.13,0.703,0.819,0.12,0.689,0.779,1,6
14,101,21,61,4,F,470.646,1,3,"[4, 5, 9]","['0.56', '0.441', '0.502']",231.0,717,728,,,359.0,Lower Tertiary,0.56,0.441,0.502,3,1,27.576,233.938,,,,,5.0,,,,,,,1,6
15,1010,43,40,1,M,710.124,4,5,"[5, 1, 6]","['0.15', '0.488', '0.373']",158.0,1148,1178,819,804,1020.0,Primary,0.15,0.488,0.373,1,1,755.731,772.222,1,1,214.997,568.138,1.0,0.12,0.255,0.813,0.14,0.391,0.791,1,6
16,1011,49,52,1,F,112.289,4,6,"[3, 10, 4]","['0.13', '0.14', '0.602']",256.0,1140,1193,795,761,967.0,Primary,0.13,0.14,0.602,1,1,521.127,470.383,2,1,748.249,720.64,1.0,0.26,0.655,0.717,0.2,0.54,0.651,1,6
17,1012,50,54,1,M,683.128,4,6,"[4, 2, 6]","['0.14', '0.512', '0.871']",371.0,1210,1247,769,746,1039.0,Primary,0.14,0.512,0.871,1,1,796.561,793.54,1,1,60.026,109.16,1.0,0.13,0.06,0.338,0.11,0.136,0.328,1,6
18,1013,40,34,1,M,494.88,4,5,"[10, 3, 6]","['0.2', '0.402', '0.815']",348.0,1159,1189,776,766,1017.0,Primary,0.2,0.402,0.815,1,1,98.423,68.422,1,1,724.745,683.334,2.0,0.19,0.634,0.662,0.18,0.641,0.704,1,6
19,1014,51,56,1,M,498.551,5,6,"[7, 6, 2]","['0.17', '0.499', '0.378']",161.0,1219,1243,836,853,1052.0,Primary,0.17,0.499,0.378,1,1,390.583,587.983,1,1,418.323,283.554,1.0,0.2,0.366,0.782,0.2,0.337,0.8,1,6
20,1015,41,36,1,M,686.438,4,5,"[3, 6, 10]","['0.13', '0.686', '0.759']",324.0,1205,1241,741,735,1026.0,Primary,0.13,0.686,0.759,1,1,645.521,717.371,1,2,714.161,783.703,1.0,0.16,0.759,0.304,0.24,0.833,0.562,1,6
21,1016,50,54,1,M,331.023,4,6,"[3, 2, 4]","['0.13', '0.248', '0.689']",295.0,1209,1229,771,760,1045.0,Primary,0.13,0.248,0.689,1,1,790.424,771.487,1,1,109.406,146.505,1.0,0.2,0.123,0.861,0.2,0.119,0.796,1,6
22,1017,49,52,2,F,532.23,4,6,"[3, 8, 10]","['0.26', '0.599', '0.81']",345.0,1159,1189,855,793,1013.0,Lower Secondary,0.26,0.599,0.81,1,1,98.423,68.422,2,2,84.527,283.734,1.0,0.28,0.09,0.374,0.38,0.213,0.528,1,6
23,1018,50,54,1,F,518.997,4,6,"[5, 10, 5]","['0.15', '0.649', '0.775']",330.0,1151,1186,829,774,940.0,Primary,0.15,0.649,0.775,1,1,750.389,653.808,1,1,689.881,281.062,1.0,0.12,0.561,0.713,0.14,0.193,0.577,1,6
24,1019,43,40,1,M,591.805,4,5,"[6, 4, 4]","['0.16', '0.518', '0.597']",255.0,1183,1250,743,728,1032.0,Primary,0.16,0.518,0.597,1,1,426.018,638.45,1,1,640.767,233.938,1.0,0.12,0.441,0.987,0.12,0.249,0.75,1,6
25,102,0,43,3,M,317.847,1,1,"[6, 5, 7]","['0.48', '0.298', '0']",,639,668,,,,Upper Secondary,0.48,0.298,0,2,1,129.327,155.33,,,,,,,,,,,,1,6
26,1020,50,54,1,F,151.801,4,6,"[7, 10, 8]","['0.17', '0.19', '0.248']",106.0,1148,1178,744,826,1010.0,Primary,0.17,0.19,0.248,1,1,755.731,772.222,1,2,601.484,568.382,1.0,0.16,0.451,0.96,0.22,0.604,0.887,1,6
27,1021,41,36,1,F,798.025,4,5,"[1, 9, 9]","['0.11', '0.948', '0.62']",266.0,1175,1182,814,748,969.0,Primary,0.11,0.948,0.62,1,1,756.695,737.628,2,2,743.529,794.472,1.0,0.26,0.929,0.752,0.26,0.993,0.483,1,6
