,AgentID,Step,Age,Edu_level,Gender,Income,Generation,Cohort,Weight,Capital,Brut,Child1,Child2,Child3,Mother,Father,Partner,Education,Cultural,Economic,Social,Child1_Edu,Child2_Edu,Child3_Edu,Child1_Income,Child2_Income,Child3_Income,Mother_Edu,Father_Edu,Mother_Income,Father_Income,Spouse_Edu,Mother_Cultural,Mother_Economic,Mother_Social,Father_Cultural,Father_Economic,Father_Social,Scenario,Replication
0,0,0,49,3,M,232.155,1,1,"[6, 5, 2]","['0.48', '0.218', '0']",,,,,,,,Upper Secondary,0.48,0.218,0,,,,,,,,,,,,,,,,,,2,3
1,1,1,44,2,F,405.922,1,1,"[4, 3, 9]","['0.28', '0.33', '0.879']",414.0,,,,,,435.0,Lower Secondary,0.28,0.33,0.879,,,,,,,,,,,2.0,,,,,,,2,3
2,10,10,40,5,F,643.562,1,2,"[7, 7, 2]","['0.85', '0.684', '0.119']",59.0,630,644,,,,41.0,Upper Tertiary,0.85,0.684,0.119,4,5,,749.4,522.447,,,,,,5.0,,,,,,,2,3
3,100,10,47,4,F,489.529,1,2,"[6, 5, 7]","['0.64', '0.459', '0.442']",221.0,,,,,,87.0,Lower Tertiary,0.64,0.459,0.442,,,,,,,,,,,4.0,,,,,,,2,3
4,1000,47,48,1,F,769.943,4,5,"[6, 10, 8]","['0.16', '0.962', '0.778']",389.0,1233,1276,,819,781,1058.0,Primary,0.16,0.962,0.778,5,4,,782.928,797.594,,5,5,703.86,779.331,4.0,0.65,0.792,0.924,0.65,0.682,0.957,2,3
5,1001,54,62,5,M,463.602,4,6,"[9, 5, 10]","['0.95', '0.435', '0.886']",443.0,1120,,,849,902,913.0,Upper Tertiary,0.95,0.435,0.886,5,,,722.846,,,2,5,471.09,733.083,5.0,0.38,0.442,0.849,0.65,0.687,0.962,2,3
6,1002,54,62,4,M,767.434,4,6,"[1, 1, 9]","['0.44', '0.528', '0.935']",464.0,1049,1091,1194,773,883,895.0,Lower Tertiary,0.44,0.528,0.935,4,4,2,612.381,695.104,318.102,5,5,751.29,724.289,4.0,0.9,0.892,0.998,0.9,0.86,0.787,2,3
7,1003,54,62,5,M,694.884,4,6,"[6, 9, 7]","['0.8', '0.825', '0.952']",471.0,1140,1205,,860,915,938.0,Upper Tertiary,0.8,0.825,0.952,3,1,,740.901,767.347,,4,5,520.175,685.385,5.0,0.76,0.65,0.801,0.7,0.557,0.792,2,3
8,1004,48,50,4,F,68.909,3,5,"[2, 1, 3]","['0.48', '0.047', '0.808']",399.0,1149,1182,1258,713,723,963.0,Lower Tertiary,0.48,0.047,0.808,3,5,5,16.808,90.83,795.661,5,5,337.911,477.693,4.0,0.55,0.232,0.638,0.85,0.358,0.516,2,3
9,1005,58,70,2,F,88.733,4,6,"[7, 10, 1]","['0.34', '0.111', '0.859']",425.0,1377,,,764,834,1045.0,Lower Secondary,0.34,0.111,0.859,5,,,528.777,,,1,3,611.536,291.712,3.0,0.19,0.573,0.959,0.36,0.255,0.958,2,3
