,AgentID,Step,Age,Edu_level,Gender,Income,Generation,Cohort,Weight,Capital,Brut,Child1,Child2,Mother,Father,Partner,Education,Cultural,Economic,Social,Child1_Edu,Child2_Edu,Child1_Income,Child2_Income,Mother_Edu,Father_Edu,Mother_Income,Father_Income,Spouse_Edu,Mother_Cultural,Mother_Economic,Mother_Social,Father_Cultural,Father_Economic,Father_Social,Scenario,Replication
0,0,17,56,3,F,374.75,1,2,"[9, 10, 9]","['0.57', '0.468', '0.507']",229.0,525,549,,,321.0,Upper Secondary,0.57,0.468,0.507,5,3,574.202,738.834,,,,,4.0,,,,,,,5,8
1,1,1,50,3,M,323.5,1,1,"[4, 4, 1]","['0.42', '0.283', '0.771']",368.0,606,,,,197.0,Upper Secondary,0.42,0.283,0.771,5,,769.357,,,,,,2.0,,,,,,,5,8
2,10,8,71,4,M,321.945,1,1,"[3, 4, 8]","['0.52', '0.282', '0.733']",344.0,,,,,,Lower Tertiary,0.52,0.282,0.733,,,,,,,,,,,,,,,,5,8
3,100,0,53,5,M,602.222,1,1,"[4, 5, 9]","['0.7', '0.565', '0']",,,,,,,Upper Tertiary,0.7,0.565,0,,,,,,,,,,,,,,,,5,8
4,1000,48,44,4,M,771.293,4,5,"[3, 6, 9]","['0.52', '0.771', '0.819']",303.0,1184,1236,757,751,1022.0,Lower Tertiary,0.52,0.771,0.819,5,5,732.205,581.198,5,3,664.344,458.932,5.0,0.55,0.706,0.77,0.48,0.516,0.886,5,8
5,1001,52,50,4,F,613.553,4,6,"[4, 4, 4]","['0.56', '0.537', '0.588']",218.0,1175,1238,846,777,961.0,Lower Tertiary,0.56,0.537,0.588,5,4,554.229,197.101,1,5,655.56,678.652,5.0,0.14,0.697,0.695,0.55,0.806,0.864,5,8
6,1002,51,48,2,F,648.979,4,6,"[2, 9, 1]","['0.24', '0.771', '0.884']",328.0,1201,1232,860,879,952.0,Lower Secondary,0.24,0.771,0.884,4,2,781.441,625.866,5,3,716.576,604.4,4.0,0.65,0.851,0.98,0.57,0.718,0.93,5,8
7,1003,44,34,1,F,85.199,4,5,"[10, 5, 8]","['0.2', '0.08', '0.917']",341.0,1177,1243,787,778,989.0,Primary,0.2,0.08,0.917,4,2,477.298,683.966,1,2,531.741,779.192,2.0,0.16,0.598,0.904,0.26,0.536,0.758,5,8
8,1004,51,48,3,M,122.883,4,6,"[2, 5, 3]","['0.36', '0.115', '0.877']",327.0,1211,1263,792,791,1059.0,Upper Secondary,0.36,0.115,0.877,4,5,62.867,694.532,1,4,765.227,612.092,5.0,0.13,0.67,0.653,0.44,0.65,0.492,5,8
9,1005,55,56,5,M,725.833,4,6,"[7, 9, 3]","['0.85', '0.862', '0.651']",243.0,1218,1268,815,840,1047.0,Upper Tertiary,0.85,0.862,0.651,5,4,745.824,794.743,5,4,728.109,566.222,1.0,0.95,0.865,0.976,0.8,0.672,0.565,5,8
