essround,idno,yrbrn,agea,eisced,gndr,hincsrca,bthcld,eiscedp,eiscedf,eiscedm,hinctnta,iincsrc
1,175,1937,65,6,2,,,,,,,
1,176,1986,17,4,2,,,,,,,
1,177,1986,16,2,2,,,,,,,
1,178,1966,36,2,2,,,,,,,
1,179,9999,999,1,1,,,,,,,
1,180,1958,44,1,1,,,,,,,
1,181,9999,999,3,1,,,,,,,
1,182,1955,47,2,1,,,,,,,
1,183,1958,45,4,2,,,,,,,
1,185,1985,17,4,2,,,,,,,
1,186,1964,38,1,2,,,,,,,
1,187,1977,25,4,2,,,,,,,
1,188,1948,54,6,2,,,,,,,
1,189,1957,45,2,2,,,,,,,
1,190,1944,58,1,2,,,,,,,
1,191,1952,50,7,1,,,,,,,
1,192,1951,51,7,2,,,,,,,
1,195,1953,49,1,1,,,,,,,
1,196,1954,48,3,1,,,,,,,
1,197,1949,53,1,2,,,,,,,
1,198,1975,28,3,2,,,,,,,
1,199,1982,21,4,1,,,,,,,
1,200,1964,38,2,2,,,,,,,
1,201,1951,51,4,2,,,,,,,
1,202,1947,55,7,2,,,,,,,
1,203,1925,999,6,2,,,,,,,
1,204,1983,19,3,1,,,,,,,
1,205,1985,17,4,1,,,,,,,
1,206,1945,57,7,2,,,,,,,
1,207,9999,999,2,2,,,,,,,
1,208,1959,43,3,2,,,,,,,
1,209,1972,30,2,1,,,,,,,
1,210,1964,38,7,1,,,,,,,
1,211,1928,74,6,2,,,,,,,
1,212,1960,42,4,2,,,,,,,
1,213,1940,62,4,2,,,,,,,
1,214,1974,28,2,1,,,,,,,
1,215,1921,81,1,2,,,,,,,
1,216,1957,45,1,1,,,,,,,
1,217,1986,16,2,1,,,,,,,
1,218,1962,40,3,2,,,,,,,
1,219,1948,54,3,1,,,,,,,
1,220,1967,35,6,1,,,,,,,
1,221,1952,50,6,2,,,,,,,
1,222,1987,15,2,2,,,,,,,
1,223,1950,52,2,2,,,,,,,
1,224,1923,79,2,2,,,,,,,
1,225,9999,999,7,1,,,,,,,
1,226,1976,26,6,1,,,,,,,
1,227,1926,76,1,2,,,,,,,
1,228,1980,22,3,2,,,,,,,
1,229,1960,43,6,1,,,,,,,
1,230,1978,25,4,1,,,,,,,
1,231,1934,68,2,2,,,,,,,
1,232,1964,38,2,1,,,,,,,
1,233,1934,68,1,2,,,,,,,
1,234,1985,18,2,2,,,,,,,
1,235,1933,70,1,2,,,,,,,
1,236,1982,21,4,2,,,,,,,
1,237,1985,17,4,1,,,,,,,
1,238,1985,17,2,1,,,,,,,
1,239,1960,42,4,1,,,,,,,
1,240,1942,60,7,1,,,,,,,
1,241,1932,70,1,2,,,,,,,
1,242,1972,30,2,2,,,,,,,
1,243,1954,48,2,1,,,,,,,
1,244,1949,53,6,2,,,,,,,
1,245,1966,37,1,2,,,,,,,
1,246,1955,48,2,1,,,,,,,
1,247,1945,58,6,1,,,,,,,
1,248,1970,32,6,2,,,,,,,
1,249,1950,52,7,9,,,,,,,
1,250,1985,17,4,2,,,,,,,
1,251,1977,25,7,1,,,,,,,
1,252,1959,44,4,2,,,,,,,
1,253,1970,33,6,2,,,,,,,
1,254,1959,44,1,2,,,,,,,
1,255,1913,90,2,2,,,,,,,
1,257,1981,21,2,2,,,,,,,
1,258,9999,999,7,2,,,,,,,
1,259,1913,999,99,1,,,,,,,
1,260,1928,74,4,1,,,,,,,
1,261,1985,999,4,1,,,,,,,
1,262,1969,33,7,1,,,,,,,
1,263,1950,52,4,2,,,,,,,
1,264,1941,61,7,2,,,,,,,
1,265,1954,48,1,2,,,,,,,
1,266,1925,77,4,2,,,,,,,
1,267,1966,36,2,1,,,,,,,
1,268,1944,58,4,1,,,,,,,
1,269,1983,19,1,1,,,,,,,
1,270,1965,999,6,2,,,,,,,
1,271,9999,999,99,9,,,,,,,
1,272,1971,999,7,1,,,,,,,
1,273,1947,55,2,1,,,,,,,
1,274,1956,46,7,2,,,,,,,
1,275,1948,55,1,2,,,,,,,
1,276,1956,46,4,1,,,,,,,
1,277,9999,999,7,1,,,,,,,
1,278,9999,999,1,9,,,,,,,
1,279,1981,21,4,1,,,,,,,
1,280,9999,999,2,9,,,,,,,
1,281,9999,999,6,1,,,,,,,
1,282,9999,999,4,1,,,,,,,
1,283,1951,52,1,1,,,,,,,
1,284,9999,999,2,1,,,,,,,
1,285,9999,999,6,2,,,,,,,
1,286,1980,23,4,2,,,,,,,
1,287,1977,26,3,1,,,,,,,
1,288,1947,56,7,1,,,,,,,
1,289,1954,49,6,2,,,,,,,
1,290,1959,44,2,2,,,,,,,
1,291,1949,54,6,2,,,,,,,
