,AgentID,Step,Age,Edu_level,Gender,Income,Generation,Cohort,Weight,Capital,Brut,Child1,Child2,Mother,Father,Partner,Education,Cultural,Economic,Social,Child1_Edu,Child2_Edu,Child1_Income,Child2_Income,Mother_Edu,Father_Edu,Mother_Income,Father_Income,Spouse_Edu,Mother_Cultural,Mother_Economic,Mother_Social,Father_Cultural,Father_Economic,Father_Social,Scenario,Replication
0,0,1,54,1,M,100.446,1,1,"[3, 1, 5]","['0.13', '0.069', '0.996']",460.0,,,,,,Primary,0.13,0.069,0.996,,,,,,,,,,,,,,,,5,4
1,1,0,47,2,M,158.903,1,1,"[5, 7, 3]","['0.3', '0.169', '0']",,,,,,,Lower Secondary,0.3,0.169,0,,,,,,,,,,,,,,,,5,4
2,10,1,43,4,F,415.282,1,1,"[3, 10, 4]","['0.52', '0.519', '0.558']",242.0,,,,,437.0,Lower Tertiary,0.52,0.519,0.558,,,,,,,,,3.0,,,,,,,5,4
3,100,29,73,5,F,652.185,1,3,"[3, 3, 5]","['0.65', '0.53', '0.342']",170.0,666,726,,,150.0,Upper Tertiary,0.65,0.53,0.342,3,4,19.627,16.179,,,,,4.0,,,,,,,5,4
4,1000,55,64,4,M,212.885,4,6,"[1, 1, 5]","['0.44', '0.146', '0.886']",435.0,1147,1188,756,820,1015.0,Lower Tertiary,0.44,0.146,0.886,5,3,590.658,42.518,5,4,391.307,17.696,2.0,0.6,0.293,0.64,0.52,0.019,0.714,5,4
5,1001,62,78,3,M,149.738,5,7,"[2, 10, 8]","['0.36', '0.187', '0.866']",426.0,1184,1303,875,940,1027.0,Upper Secondary,0.36,0.187,0.866,3,4,308.028,780.613,5,4,754.528,731.059,4.0,0.55,0.802,0.933,0.56,0.64,0.966,5,4
6,1002,56,66,3,M,798.006,4,6,"[7, 2, 3]","['0.51', '0.599', '0.911']",448.0,1238,1301,881,842,1006.0,Upper Secondary,0.51,0.599,0.911,3,4,130.01,11.76,5,3,791.051,731.495,5.0,0.6,0.989,0.827,0.33,0.823,0.904,5,4
7,1003,50,54,4,M,387.211,4,5,"[5, 10, 7]","['0.6', '0.484', '0.834']",411.0,1266,1312,787,841,970.0,Lower Tertiary,0.6,0.484,0.834,5,5,641.184,593.267,3,2,721.228,675.708,5.0,0.39,0.541,0.5,0.38,0.465,0.552,5,4
8,1004,56,66,4,M,681.88,4,6,"[10, 7, 1]","['0.8', '0.724', '0.868']",427.0,1084,1087,730,750,868.0,Lower Tertiary,0.8,0.724,0.868,5,5,775.346,692.053,4,3,301.114,648.271,5.0,0.56,0.32,0.695,0.48,0.608,0.91,5,4
9,1005,55,64,3,F,754.736,4,6,"[2, 1, 10]","['0.36', '0.519', '0.838']",413.0,1252,1288,870,883,1054.0,Upper Secondary,0.36,0.519,0.838,4,4,794.864,766.297,2,4,119.919,94.954,4.0,0.28,0.142,0.977,0.52,0.095,0.971,5,4
