,AgentID,Step,Age,Edu_level,Gender,Income,Generation,Cohort,Weight,Capital,Brut,Child1,Child2,Child3,Mother,Father,Partner,Education,Cultural,Economic,Social,Child1_Edu,Child2_Edu,Child3_Edu,Child1_Income,Child2_Income,Child3_Income,Mother_Edu,Father_Edu,Mother_Income,Father_Income,Spouse_Edu,Mother_Cultural,Mother_Economic,Mother_Social,Father_Cultural,Father_Economic,Father_Social,Scenario,Replication
0,0,8,39,1,F,266.336,1,2,"[6, 6, 9]","['0.16', '0.266', '0.957']",428.0,531,582,,,,195.0,Primary,0.16,0.266,0.957,4,1,,739.906,775.032,,,,,,2.0,,,,,,,3,9
1,1,0,56,1,F,183.37,1,1,"[2, 7, 3]","['0.12', '0.195', '0']",,,,,,,,Primary,0.12,0.195,0,,,,,,,,,,,,,,,,,,3,9
2,10,11,43,4,M,246.784,1,2,"[9, 5, 6]","['0.76', '0.231', '0.79']",357.0,542,673,753,,,451.0,Lower Tertiary,0.76,0.231,0.79,5,5,5,585.718,499.697,313.304,,,,,5.0,,,,,,,3,9
3,100,8,45,5,M,399.114,1,2,"[8, 7, 8]","['0.9', '0.424', '0.426']",206.0,,,,,,92.0,Upper Tertiary,0.9,0.424,0.426,,,,,,,,,,,4.0,,,,,,,3,9
4,1000,45,46,3,M,287.878,3,5,"[7, 3, 7]","['0.51', '0.234', '0.818']",409.0,1229,1261,1366,780,757,1071.0,Upper Secondary,0.51,0.234,0.818,5,4,5,731.947,773.579,787.366,3,4,773.863,663.113,4.0,0.36,0.725,0.448,0.68,0.663,0.474,3,9
5,1001,46,48,4,M,360.067,4,5,"[2, 7, 7]","['0.48', '0.383', '0.936']",468.0,1206,1241,,744,690,1082.0,Lower Tertiary,0.48,0.383,0.936,3,4,,224.753,286.807,,4,5,578.052,795.729,3.0,0.72,0.542,0.931,0.6,0.547,0.356,3,9
6,1002,46,48,5,F,782.689,3,5,"[10, 10, 2]","['1.0', '0.978', '0.808']",404.0,1218,1348,,723,698,998.0,Upper Tertiary,1.0,0.978,0.808,5,5,,786.649,795.926,,5,3,451.251,658.668,1.0,0.8,0.423,0.923,0.51,0.823,0.884,3,9
7,1003,45,46,5,M,781.535,3,5,"[6, 6, 9]","['0.8', '0.782', '0.868']",433.0,1203,1340,1356,740,726,1094.0,Upper Tertiary,0.8,0.782,0.868,5,5,4,657.555,783.243,710.913,5,4,733.208,72.988,4.0,1.0,0.504,0.636,0.76,0.073,0.824,3,9
8,1004,54,64,4,M,713.563,5,6,"[6, 5, 3]","['0.64', '0.669', '0.964']",481.0,1262,,,839,784,1021.0,Lower Tertiary,0.64,0.669,0.964,5,,,438.877,,,5,4,749.513,683.535,5.0,0.6,0.843,0.589,0.64,0.812,0.681,3,9
9,1005,50,56,5,M,383.48,3,5,"[6, 1, 2]","['0.8', '0.264', '0.661']",326.0,1204,,,737,700,1109.0,Upper Tertiary,0.8,0.264,0.661,4,,,27.396,,,1,3,127.382,687.731,4.0,0.17,0.096,0.68,0.39,0.645,0.986,3,9
