,AgentID,Step,Age,Edu_level,Gender,Income,Generation,Cohort,Weight,Capital,Brut,Child1,Child2,Child3,Mother,Father,Partner,Education,Cultural,Economic,Social,Child1_Edu,Child2_Edu,Child3_Edu,Child1_Income,Child2_Income,Child3_Income,Mother_Edu,Father_Edu,Mother_Income,Father_Income,Spouse_Edu,Mother_Cultural,Mother_Economic,Mother_Social,Father_Cultural,Father_Economic,Father_Social,Scenario,Replication
0,0,11,55,3,F,273.396,1,2,"[5, 5, 4]","['0.45', '0.256', '0.839']",391.0,567,,,,,485.0,Upper Secondary,0.45,0.256,0.839,5,,,611.261,,,,,,,3.0,,,,,,,1,9
1,1,3,64,2,M,278.7,1,1,"[1, 8, 6]","['0.22', '0.314', '0.892']",446.0,,,,,,185.0,Lower Secondary,0.22,0.314,0.892,,,,,,,,,,,1.0,,,,,,,1,9
2,10,0,57,2,M,345.881,1,1,"[6, 10, 5]","['0.32', '0.432', '0']",,,,,,,,Lower Secondary,0.32,0.432,0,,,,,,,,,,,,,,,,,,1,9
3,100,11,55,4,F,511.577,1,2,"[1, 1, 5]","['0.44', '0.352', '0.744']",346.0,,,,,,34.0,Lower Tertiary,0.44,0.352,0.744,,,,,,,,,,,3.0,,,,,,,1,9
4,1000,47,50,5,F,676.701,4,5,"[7, 5, 10]","['0.85', '0.634', '0.854']",405.0,1316,,,731,814,1074.0,Upper Tertiary,0.85,0.634,0.854,4,,,29.925,,,5,5,580.223,791.368,4.0,0.6,0.544,0.924,0.65,0.544,0.919,1,9
5,1001,48,52,2,M,768.441,4,5,"[3, 7, 2]","['0.26', '0.816', '0.819']",389.0,1180,1344,,785,748,999.0,Lower Secondary,0.26,0.816,0.819,3,2,,787.6,793.518,,4,4,631.485,707.422,1.0,0.52,0.789,0.998,0.56,0.796,0.957,1,9
6,1002,46,48,3,F,90.521,4,5,"[2, 4, 8]","['0.36', '0.079', '0.929']",442.0,,,,759,755,978.0,Upper Secondary,0.36,0.079,0.929,,,,,,,3,5,22.574,656.281,3.0,0.6,0.02,0.922,0.55,0.451,0.899,1,9
7,1003,57,70,5,F,792.639,4,5,"[7, 8, 3]","['0.85', '0.892', '0.824']",392.0,1150,1198,1259,766,751,1076.0,Upper Tertiary,0.85,0.892,0.824,4,4,5,759.119,792.779,736.8,4,4,783.866,636.21,5.0,0.64,0.833,0.96,0.68,0.795,0.87,1,9
8,1004,55,66,4,F,788.613,5,6,"[6, 4, 4]","['0.64', '0.69', '0.841']",401.0,1265,,,818,904,974.0,Lower Tertiary,0.64,0.69,0.841,3,,,280.062,,,4,4,615.101,748.798,5.0,0.44,0.423,0.754,0.48,0.608,0.734,1,9
9,1005,46,48,5,M,647.02,3,5,"[3, 3, 4]","['0.65', '0.526', '0.945']",451.0,1236,,,658,605,1039.0,Upper Tertiary,0.65,0.526,0.945,3,,,35.702,,,5,4,643.511,608.902,5.0,0.8,0.804,0.67,0.72,0.723,0.089,1,9
10,1006,47,50,2,F,653.886,4,5,"[6, 4, 2]","['0.32', '0.572', '0.903']",429.0,1206,,,771,783,982.0,Lower Secondary,0.32,0.572,0.903,3,,,746.68,,,2,1,338.09,774.461,3.0,0.24,0.232,0.905,0.15,0.629,0.922,1,9
