,Scenario,Cohort,Probability_mean,Probability_median,Probability_var,Probability_sem,Probability_std,ci95_hi,ci95_lo
0,1,3,0.0008,0.0,6.4000000000000006e-06,0.0007999999999999999,0.0025298221281347035,0.002368,-0.0007679999999999997
1,1,4,0.004122284657161633,0.0,5.3728706462489526e-05,0.0023179453501428696,0.00732998679824797,0.008665457543441658,-0.00042088822911839126
2,1,5,0.006231067124523501,0.003355704697986577,5.50359187693639e-05,0.002345973545659965,0.007418619734786512,0.010829175274017031,0.0016329589750299694
3,1,6,0.00828069470823561,0.006714131218457101,9.058780332184283e-05,0.0030097807780940264,0.009517762516570943,0.014179865033299903,0.0023815243831713188
4,1,7,0.005781368467504539,0.003246753246753247,4.912813040228916e-05,0.0022164866433680387,0.007009146196384347,0.010125682288505895,0.0014370546465031827
5,1,8,0.010965694166183055,0.007077352472089314,0.00014714253553711507,0.003835916259997278,0.012130232295266033,0.01848409003577772,0.00344729829658839
6,1,9,0.0033070175438596494,0.0,5.088411819021237e-05,0.002255750832654448,0.007133310465009382,0.007728289175862367,-0.0011142540881430682
7,1,10,0.004951917506662032,0.0,6.474076986159134e-05,0.0025444207565100416,0.008046164916380433,0.009938982189421713,-3.514717609764961e-05
8,1,11,0.004525896044883387,0.0,4.275630720818017e-05,0.002067759831512842,0.006538830721786592,0.008578705314648556,0.0004730867751182172
9,1,12,0.00392059553349876,0.0,7.099770743411183e-05,0.0026645394993152537,0.008426013733320865,0.009143092952156658,-0.0013019018851591372
10,1,13,0.006442893251986601,0.0,8.14827468564286e-05,0.0028545182931000563,0.009026779428812283,0.01203774910646271,0.0008480373975104909
11,1,14,0.004490567171726591,0.0,6.0528191462971454e-05,0.0024602477814840407,0.007779986597865799,0.00931265282343531,-0.0003315184799821281
12,1,15,0.002284044165403767,0.0,2.8113346685210284e-05,0.0016767035124079115,0.005302202060013394,0.005570383049723274,-0.0010022947189157398
13,1,16,0.0012195121951219512,0.0,1.4872099940511598e-05,0.0012195121951219512,0.003856436170937048,0.0036097560975609753,-0.0011707317073170731
14,1,17,0.002325581395348837,0.0,5.4083288263926445e-05,0.002325581395348837,0.007354134093414836,0.006883720930232558,-0.0022325581395348836
15,1,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,1,19,0.00253441802252816,0.0,2.946706780778156e-05,0.001716597442843882,0.005428357745007375,0.005898949010502169,-0.0008301129654458487
17,1,20,0.006952826585179527,0.003676470588235294,6.44498829483719e-05,0.0025386981496107784,0.008028068444424967,0.011928674958416652,0.001976978211942401
18,1,21,0.011543978533801314,0.011607622114868491,0.00011867454251150485,0.0034449171617254434,0.01089378458165503,0.018296016170783184,0.004791940896819445
19,1,22,0.0037549807523468625,0.0,3.802782064430097e-05,0.0019500723228716662,0.0061666701423297296,0.007577122505175328,-6.716100048160308e-05
20,1,23,0.0036242826940501363,0.0,6.423790427779948e-05,0.0025345197627519,0.008014855225005595,0.008591941429043862,-0.0013433760409435882
21,1,24,0.004351788562314878,0.0,5.063682079187349e-05,0.0022502626689316404,0.0071159553674734,0.008762303393420892,-5.8726268791136314e-05
22,1,25,0.0035252643948296123,0.0,5.899221655620776e-05,0.0024288313353587926,0.007680639072122043,0.008285773812132845,-0.0012352450224736209
23,1,26,0.004873455462210246,0.0,3.972300457039372e-05,0.0019930630840591505,0.006302618866026544,0.00877985910696618,0.0009670518174543117
24,1,27,0.005271777309448542,0.0,8.814545105517397e-05,0.002968929959685374,0.009388580886117666,0.011090880030431877,-0.000547325411534791
25,1,28,0.003333333333333333,0.0,0.00011111111111111109,0.0033333333333333327,0.010540925533894597,0.009866666666666666,-0.003199999999999999
26,1,29,0.0037765716870194485,0.0,9.237115547490403e-05,0.003039262336076042,0.00961099138876443,0.00973352586572849,-0.0021803824916895934
27,1,30,0.004864130434782609,0.0,0.00011582470200588114,0.0034033028370375903,0.010762188532351639,0.011534603995376286,-0.0018063431258110683
28,1,31,0.0037037037037037034,0.0,6.096631611034902e-05,0.0024691358024691353,0.007808092988070072,0.008543209876543209,-0.0011358024691358018
29,1,32,0.003447783251231527,0.0,3.7591305297386485e-05,0.0019388477324789194,0.006131174870886206,0.0072479248068902085,-0.0003523583044271546
30,1,33,0.0016260162601626018,0.0,2.6439288783131735e-05,0.0016260162601626016,0.005141914894582731,0.004813008130081301,-0.0015609756097560974
31,1,34,0.00512012012012012,0.0,0.00019542290037785534,0.004420666243654403,0.013979374105368786,0.01378462595768275,-0.0035443857174425096
32,1,35,0.0014285714285714286,0.0,2.040816326530612e-05,0.0014285714285714284,0.004517539514526256,0.004228571428571428,-0.001371428571428571
33,1,36,0.005086580086580086,0.0,0.00013848284952181056,0.003721328385426507,0.011767873619384708,0.012380383722016039,-0.0022072235488558673
34,1,37,0.0049721913236929925,0.0,6.399472408472645e-05,0.0026665567494998,0.0079996702484994,0.0101986425527126,-0.0002542599053266155
35,1,38,0.004743358530626862,0.0,5.06877530888652e-05,0.0023731777357436728,0.007119533207231019,0.00939478689268446,9.193016856926407e-05
36,1,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,1,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,1,41,0.0068220519369944655,0.0,8.328190319839373e-05,0.0030419639708289654,0.009125891912486896,0.012784301319819238,0.0008598025541696934
39,1,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,1,43,0.0066391564849624055,0.0035714285714285713,7.965122395207652e-05,0.0031553768386691256,0.008924753439287638,0.012823695088753893,0.00045461788117091926
