,AgentID,Step,Age,Edu_level,Gender,Income,Generation,Cohort,Weight,Capital,Brut,Child1,Child2,Mother,Father,Partner,Education,Cultural,Economic,Social,Child1_Edu,Child2_Edu,Child1_Income,Child2_Income,Mother_Edu,Father_Edu,Mother_Income,Father_Income,Spouse_Edu,Mother_Cultural,Mother_Economic,Mother_Social,Father_Cultural,Father_Economic,Father_Social,Scenario,Replication
0,0,7,61,2,M,189.159,1,1,"[5, 9, 6]","['0.3', '0.225', '0.912']",416.0,638,,,,69.0,Lower Secondary,0.3,0.225,0.912,2,,653.754,,,,,,2.0,,,,,,,4,9
1,1,2,54,2,F,242.463,1,1,"[7, 6, 4]","['0.34', '0.242', '0.878']",412.0,,,,,242.0,Lower Secondary,0.34,0.242,0.878,,,,,,,,,2.0,,,,,,,4,9
2,10,0,50,2,M,352.464,1,1,"[2, 7, 1]","['0.24', '0.374', '0']",,,,,,,Lower Secondary,0.24,0.374,0,,,,,,,,,,,,,,,,4,9
3,100,2,54,2,F,133.945,1,1,"[4, 1, 6]","['0.28', '0.092', '0.987']",455.0,,,,,,Lower Secondary,0.28,0.092,0.987,,,,,,,,,,,,,,,,4,9
4,1000,42,36,5,M,482.816,4,5,"[10, 6, 3]","['1.0', '0.483', '0.829']",412.0,1164,1237,791,672,1052.0,Upper Tertiary,1.0,0.483,0.829,5,5,634.413,646.655,5,5,681.517,494.826,5.0,1.0,0.511,0.96,0.55,0.495,0.595,4,9
5,1001,54,60,3,F,610.1,4,6,"[10, 6, 8]","['0.6', '0.61', '0.819']",408.0,1166,1222,800,736,1030.0,Upper Secondary,0.6,0.61,0.819,3,3,610.869,788.421,3,3,359.581,673.302,3.0,0.39,0.382,0.896,0.39,0.715,0.894,4,9
6,1002,53,58,4,M,692.356,4,6,"[2, 1, 8]","['0.48', '0.476', '0.888']",443.0,1137,1201,790,690,956.0,Lower Tertiary,0.48,0.476,0.888,2,5,50.131,359.141,2,2,24.721,670.814,4.0,0.34,0.017,0.845,0.34,0.629,0.712,4,9
7,1003,51,54,2,F,524.652,4,6,"[9, 10, 2]","['0.38', '0.656', '0.932']",465.0,1156,1177,858,758,1025.0,Lower Secondary,0.38,0.656,0.932,5,5,758.395,732.174,2,2,695.123,334.917,2.0,0.22,0.739,0.847,0.4,0.335,0.89,4,9
8,1004,51,54,4,F,754.816,4,6,"[9, 9, 8]","['0.76', '0.896', '0.834']",417.0,1195,1254,801,757,970.0,Lower Tertiary,0.76,0.896,0.834,4,4,787.758,783.827,4,4,697.079,743.954,4.0,0.76,0.741,0.273,0.72,0.651,0.735,4,9
9,1005,52,56,4,M,729.34,4,6,"[3, 6, 6]","['0.52', '0.729', '0.828']",413.0,1187,1233,807,691,977.0,Lower Tertiary,0.52,0.729,0.828,5,5,793.129,731.058,2,2,124.141,711.624,4.0,0.38,0.124,0.978,0.4,0.534,0.693,4,9
10,1006,52,56,4,M,285.46,4,6,"[9, 9, 8]","['0.76', '0.339', '0.892']",446.0,1220,1267,841,755,1039.0,Lower Tertiary,0.76,0.339,0.892,4,4,792.702,371.334,4,4,382.525,388.633,4.0,0.64,0.406,0.913,0.52,0.413,0.916,4,9
11,1007,52,56,1,M,317.91,4,6,"[10, 1, 5]","['0.2', '0.219', '0.93']",463.0,1179,1205,840,704,1015.0,Primary,0.2,0.219,0.93,4,5,762.921,725.686,1,1,237.966,22.388,1.0,0.16,0.297,0.986,0.16,0.018,0.728,4,9
12,1008,51,54,3,M,779.306,4,6,"[7, 8, 6]","['0.51', '0.877', '0.906']",452.0,1234,1271,815,805,1043.0,Upper Secondary,0.51,0.877,0.906,3,3,662.871,640.592,3,3,656.897,263.086,3.0,0.33,0.657,0.605,0.48,0.312,0.647,4,9
13,1009,56,64,2,F,0.412,4,6,"[3, 9, 8]","['0.26', '0.0', '0.93']",465.0,1155,1162,820,748,877.0,Lower Secondary,0.26,0.0,0.93,5,5,710.218,411.737,3,3,762.084,99.744,2.0,0.48,0.762,0.93,0.39,0.075,0.885,4,9
14,101,24,67,2,M,399.218,1,3,"[5, 7, 7]","['0.3', '0.424', '0.82']",379.0,593,667,,,495.0,Lower Secondary,0.3,0.424,0.82,3,5,799.445,743.236,,,,,2.0,,,,,,,4,9
15,1010,52,56,3,M,373.472,4,6,"[8, 10, 4]","['0.54', '0.467', '0.784']",392.0,1193,1242,774,675,958.0,Upper Secondary,0.54,0.467,0.784,5,5,588.086,579.26,2,2,668.538,78.555,3.0,0.24,0.585,0.918,0.22,0.074,0.506,4,9
16,1011,52,56,4,F,651.532,4,6,"[1, 5, 1]","['0.44', '0.611', '0.657']",327.0,1158,1189,872,747,997.0,Lower Tertiary,0.44,0.611,0.657,3,2,336.869,165.92,3,3,54.161,664.959,4.0,0.33,0.037,0.948,0.54,0.582,0.69,4,9
17,1012,50,52,1,F,424.217,4,6,"[3, 8, 6]","['0.13', '0.477', '0.988']",493.0,1178,1218,829,739,873.0,Primary,0.13,0.477,0.988,5,2,361.994,633.676,1,1,414.945,275.075,1.0,0.19,0.389,0.983,0.13,0.344,0.997,4,9
