,AgentID,Step,Age,Edu_level,Gender,Income,Generation,Cohort,Weight,Capital,Brut,Child1,Child2,Child3,Mother,Father,Partner,Education,Cultural,Economic,Social,Child1_Edu,Child2_Edu,Child3_Edu,Child1_Income,Child2_Income,Child3_Income,Mother_Edu,Father_Edu,Mother_Income,Father_Income,Spouse_Edu,Mother_Cultural,Mother_Economic,Mother_Social,Father_Cultural,Father_Economic,Father_Social,Scenario,Replication
0,0,6,58,2,F,457.977,1,1,"[10, 1, 4]","['0.4', '0.315', '0.785']",391.0,,,,,,484.0,Lower Secondary,0.4,0.315,0.785,,,,,,,,,,,3.0,,,,,,,1,7
1,1,2,50,3,F,622.944,1,1,"[8, 1, 9]","['0.54', '0.428', '0.586']",275.0,,,,,,341.0,Upper Secondary,0.54,0.428,0.586,,,,,,,,,,,4.0,,,,,,,1,7
2,10,9,39,3,M,235.194,1,2,"[6, 6, 3]","['0.48', '0.235', '0.836']",398.0,501,,,,,269.0,Upper Secondary,0.48,0.235,0.836,2,,,67.452,,,,,,,2.0,,,,,,,1,7
3,100,1,44,5,M,671.1,1,1,"[8, 6, 6]","['0.9', '0.671', '0.11']",52.0,,,,,,,Upper Tertiary,0.9,0.671,0.11,,,,,,,,,,,,,,,,,,1,7
4,1000,47,44,2,M,789.163,4,5,"[8, 4, 5]","['0.36', '0.691', '0.614']",306.0,1258,1318,1325,803,770,1067.0,Lower Secondary,0.36,0.691,0.614,4,5,3,308.904,492.296,127.859,4,5,93.899,184.029,5.0,0.52,0.094,0.932,0.55,0.184,0.937,1,7
5,1001,48,46,2,F,779.805,4,5,"[5, 8, 2]","['0.3', '0.877', '0.458']",228.0,1187,1206,1336,748,729,932.0,Lower Secondary,0.3,0.877,0.458,3,3,2,790.803,798.46,790.039,4,4,479.631,767.326,1.0,0.56,0.6,0.983,0.8,0.863,0.861,1,7
6,1002,58,66,5,M,777.318,4,6,"[9, 2, 3]","['0.95', '0.583', '0.659']",328.0,1309,1413,1426,882,827,1016.0,Upper Tertiary,0.95,0.583,0.659,5,5,5,599.557,175.996,746.43,3,5,758.031,452.863,5.0,0.42,0.569,0.892,0.6,0.481,0.955,1,7
7,1003,57,64,3,M,81.014,4,6,"[7, 1, 10]","['0.51', '0.056', '0.942']",470.0,1254,1348,1364,927,919,1049.0,Upper Secondary,0.51,0.056,0.942,1,3,1,4.709,678.721,47.25,4,1,134.171,469.036,3.0,0.56,0.117,0.711,0.12,0.381,0.892,1,7
8,1004,59,68,3,F,24.406,4,6,"[1, 1, 6]","['0.33', '0.017', '0.998']",499.0,1173,1286,1404,797,758,942.0,Upper Secondary,0.33,0.017,0.998,1,1,1,48.994,67.93,33.602,4,5,799.381,646.237,1.0,0.52,0.55,0.785,0.55,0.485,0.873,1,7
9,1005,50,50,2,F,17.537,4,5,"[2, 7, 2]","['0.24', '0.019', '0.77']",385.0,1198,1201,1365,817,785,1026.0,Lower Secondary,0.24,0.019,0.77,2,4,3,545.094,296.784,371.647,3,3,118.856,125.942,2.0,0.6,0.126,0.966,0.54,0.094,0.976,1,7
10,1006,57,64,5,F,756.683,4,6,"[3, 8, 5]","['0.65', '0.851', '0.916']",458.0,1289,1425,,877,786,949.0,Upper Tertiary,0.65,0.851,0.916,5,4,,694.682,531.869,,3,4,750.166,425.731,4.0,0.48,0.563,0.903,0.64,0.479,0.981,1,7
11,1007,57,64,2,F,39.461,4,6,"[8, 4, 3]","['0.36', '0.035', '0.956']",478.0,1267,1418,,816,815,993.0,Lower Secondary,0.36,0.035,0.956,1,1,,241.792,113.81,,3,2,91.412,131.887,3.0,0.33,0.08,0.963,0.28,0.124,0.931,1,7
12,1008,53,56,3,F,779.865,3,5,"[7, 7, 3]","['0.51', '0.829', '0.847']",421.0,1176,1288,1346,711,707,976.0,Upper Secondary,0.51,0.829,0.847,5,4,3,748.991,719.916,745.04,5,2,704.922,303.63,4.0,0.6,0.661,0.936,0.24,0.38,0.972,1,7
13,1009,59,68,5,F,462.298,4,6,"[3, 4, 6]","['0.65', '0.405', '0.966']",480.0,1174,1262,1387,922,789,934.0,Upper Tertiary,0.65,0.405,0.966,5,4,5,457.999,33.313,469.469,5,4,390.4,244.683,5.0,0.95,0.488,0.802,0.6,0.214,0.6,1,7
14,101,13,47,4,M,527.541,1,2,"[3, 9, 7]","['0.52', '0.626', '0.458']",221.0,635,726,747,,,324.0,Lower Tertiary,0.52,0.626,0.458,4,3,4,515.727,570.672,673.793,,,,,4.0,,,,,,,1,7
15,1010,45,40,5,F,650.084,4,5,"[1, 6, 1]","['0.55', '0.65', '0.994']",490.0,1219,1242,1298,868,831,937.0,Upper Tertiary,0.55,0.65,0.994,1,2,2,690.438,465.253,631.69,4,5,766.121,563.438,4.0,0.64,0.862,0.482,0.7,0.387,0.518,1,7
