,AgentID,Step,Age,Edu_level,Gender,Income,Generation,Cohort,Weight,Capital,Brut,Child1,Child2,Child3,Mother,Father,Partner,Education,Cultural,Economic,Social,Child1_Edu,Child2_Edu,Child3_Edu,Child1_Income,Child2_Income,Child3_Income,Mother_Edu,Father_Edu,Mother_Income,Father_Income,Spouse_Edu,Mother_Cultural,Mother_Economic,Mother_Social,Father_Cultural,Father_Economic,Father_Social,Scenario,Replication
0,0,12,53,5,M,411.627,1,2,"[1, 8, 8]","['0.55', '0.463', '0.539']",257.0,524,586,743,,,375.0,Upper Tertiary,0.55,0.463,0.539,3,3,4,590.42,713.785,460.322,,,,,3.0,,,,,,,3,6
1,1,25,67,4,F,433.714,1,3,"[9, 5, 6]","['0.76', '0.407', '0.486']",237.0,625,707,780,,,98.0,Lower Tertiary,0.76,0.407,0.486,4,5,5,20.971,714.679,522.947,,,,,5.0,,,,,,,3,6
2,10,0,44,4,M,310.335,1,1,"[8, 10, 4]","['0.72', '0.388', '0']",,575,693,715,,,,Lower Tertiary,0.72,0.388,0,5,5,5,663.015,675.869,684.628,,,,,,,,,,,,3,6
3,100,14,51,3,M,412.983,1,2,"[4, 8, 6]","['0.42', '0.465', '0.636']",302.0,531,556,723,,,332.0,Upper Secondary,0.42,0.465,0.636,4,5,5,765.568,766.284,795.78,,,,,5.0,,,,,,,3,6
4,1000,49,50,5,F,631.569,4,5,"[8, 6, 8]","['0.9', '0.632', '0.766']",373.0,1306,,,583,591,960.0,Upper Tertiary,0.9,0.632,0.766,4,,,664.757,,,5,5,656.764,714.567,4.0,1.0,0.739,0.434,1.0,0.67,0.34,3,6
5,1001,56,64,5,M,438.6,4,6,"[8, 2, 6]","['0.9', '0.329', '0.902']",440.0,1199,1238,1319,812,810,968.0,Upper Tertiary,0.9,0.329,0.902,5,4,4,386.463,248.432,228.693,1,3,74.956,698.005,4.0,0.2,0.061,0.796,0.39,0.698,0.964,3,6
6,1002,49,50,4,M,186.49,3,5,"[1, 1, 4]","['0.44', '0.128', '0.513']",251.0,1208,1320,,655,570,1036.0,Lower Tertiary,0.44,0.128,0.513,3,5,,291.309,799.466,,5,4,550.448,137.705,5.0,0.85,0.413,0.389,0.44,0.164,0.22,3,6
7,1003,47,46,4,M,361.686,4,5,"[7, 6, 9]","['0.68', '0.362', '0.867']",423.0,1287,1344,,765,740,958.0,Lower Tertiary,0.68,0.362,0.867,4,5,,73.03,731.128,,4,5,658.267,554.083,5.0,0.64,0.453,0.77,0.65,0.554,0.703,3,6
8,1004,56,64,4,M,745.861,4,6,"[5, 2, 1]","['0.6', '0.559', '0.834']",407.0,1225,1307,,851,775,974.0,Lower Tertiary,0.6,0.559,0.834,2,1,,472.414,27.214,,4,5,372.845,798.497,5.0,0.72,0.443,0.92,0.75,0.798,0.976,3,6
9,1005,47,46,4,M,101.999,3,5,"[6, 5, 10]","['0.64', '0.096', '0.71']",347.0,1365,,,744,723,973.0,Lower Tertiary,0.64,0.096,0.71,4,,,231.093,,,5,5,635.695,795.78,5.0,0.9,0.596,0.97,0.55,0.696,0.89,3,6
10,1006,56,64,3,F,21.216,5,6,"[5, 6, 5]","['0.45', '0.021', '0.961']",469.0,1229,,,844,772,984.0,Upper Secondary,0.45,0.021,0.961,3,,,35.257,,,5,4,641.435,10.966,5.0,0.9,0.441,0.982,0.8,0.012,0.904,3,6
11,1007,47,46,5,F,728.916,4,5,"[7, 8, 1]","['0.85', '0.82', '0.895']",434.0,1210,,,829,867,959.0,Upper Tertiary,0.85,0.82,0.895,5,,,730.92,,,5,4,722.173,598.187,4.0,0.95,0.587,0.866,0.72,0.449,0.624,3,6
12,1008,48,48,5,F,536.879,4,5,"[6, 5, 9]","['0.8', '0.503', '0.996']",479.0,1244,,,864,869,1074.0,Upper Tertiary,0.8,0.503,0.996,1,,,283.531,,,4,5,793.726,729.26,1.0,0.52,0.695,0.507,0.65,0.729,0.798,3,6
13,1009,57,66,5,M,622.748,4,6,"[8, 8, 3]","['0.9', '0.701', '0.853']",411.0,1292,,,847,878,1030.0,Upper Tertiary,0.9,0.701,0.853,5,,,796.322,,,4,3,168.555,115.72,4.0,0.48,0.2,0.572,0.6,0.123,0.93,3,6
14,101,13,50,3,M,291.9,1,2,"[1, 7, 10]","['0.33', '0.31', '0.865']",385.0,590,661,695,,,316.0,Upper Secondary,0.33,0.31,0.865,4,4,3,311.496,317.508,644.857,,,,,2.0,,,,,,,3,6
15,1010,47,46,5,F,513.352,3,5,"[2, 9, 4]","['0.6', '0.61', '0.892']",431.0,1337,,,720,712,966.0,Upper Tertiary,0.6,0.61,0.892,4,,,670.683,,,5,4,545.371,340.078,3.0,0.75,0.511,0.948,0.6,0.404,0.742,3,6
16,1011,57,66,4,F,61.334,4,6,"[9, 7, 10]","['0.76', '0.065', '0.851']",412.0,1211,,,768,752,972.0,Lower Tertiary,0.76,0.065,0.851,4,,,222.186,,,5,3,610.948,754.296,5.0,0.55,0.458,0.757,0.57,0.66,0.632,3,6
17,1012,57,66,1,M,620.405,4,6,"[2, 3, 2]","['0.12', '0.504', '0.474']",230.0,1194,1205,1297,756,789,990.0,Primary,0.12,0.504,0.474,5,2,3,505.142,76.768,526.381,4,3,735.691,795.255,3.0,0.68,0.782,0.926,0.39,0.795,0.984,3,6
18,1013,56,64,5,F,262.661,4,6,"[2, 7, 1]","['0.6', '0.279', '0.741']",360.0,1228,,,811,773,1020.0,Upper Tertiary,0.6,0.279,0.741,4,,,136.101,,,4,5,259.112,504.681,4.0,0.68,0.227,0.72,1.0,0.442,0.745,3,6
19,1014,52,56,2,F,131.848,4,5,"[1, 6, 8]","['0.22', '0.132', '0.977']",475.0,1196,1293,,798,788,983.0,Lower Secondary,0.22,0.132,0.977,1,1,,75.921,2.722,,4,3,118.612,197.462,1.0,0.44,0.126,0.799,0.48,0.173,0.88,3,6
20,1015,47,44,5,M,780.914,3,5,"[7, 6, 8]","['0.85', '0.781', '0.808']",391.0,1236,,,697,692,1071.0,Upper Tertiary,0.85,0.781,0.808,5,,,709.513,,,5,4,469.704,582.209,4.0,0.65,0.47,0.808,0.56,0.437,0.848,3,6
21,1016,60,70,5,M,469.457,4,6,"[8, 8, 3]","['0.9', '0.528', '0.928']",450.0,1221,,,761,818,1063.0,Upper Tertiary,0.9,0.528,0.928,3,,,670.494,,,4,5,56.507,441.622,4.0,0.76,0.067,0.739,0.8,0.442,0.669,3,6
22,1017,56,62,5,M,641.288,4,6,"[3, 3, 3]","['0.65', '0.521', '0.872']",423.0,1234,,,895,880,1070.0,Upper Tertiary,0.65,0.521,0.872,3,,,151.072,,,5,4,532.306,491.102,4.0,1.0,0.566,0.892,0.64,0.552,0.712,3,6
23,1018,48,46,4,F,738.755,3,5,"[5, 4, 10]","['0.6', '0.646', '0.7']",340.0,,,,750,748,969.0,Lower Tertiary,0.6,0.646,0.7,,,,,,,4,3,622.042,673.592,5.0,0.6,0.7,0.736,0.39,0.547,0.906,3,6
24,1019,47,44,4,M,622.791,4,5,"[3, 1, 10]","['0.52', '0.428', '0.572']",278.0,1295,,,821,757,993.0,Lower Tertiary,0.52,0.428,0.572,5,,,798.706,,,3,4,538.433,697.492,5.0,0.45,0.505,0.944,0.6,0.523,0.878,3,6
25,102,23,63,5,M,424.23,1,3,"[5, 7, 3]","['0.75', '0.451', '0.453']",205.0,791,876,,,,524.0,Upper Tertiary,0.75,0.451,0.453,5,5,,656.699,727.374,,,,,,3.0,,,,,,,3,6
26,1020,48,46,4,M,225.719,4,5,"[2, 4, 3]","['0.48', '0.198', '0.762']",371.0,1228,,,900,911,1013.0,Lower Tertiary,0.48,0.198,0.762,4,,,136.101,,,5,4,156.938,668.617,5.0,0.9,0.108,0.838,0.68,0.794,0.906,3,6
27,1021,57,64,5,F,588.491,4,6,"[2, 9, 3]","['0.6', '0.699', '0.834']",407.0,1253,1309,1381,866,870,1097.0,Upper Tertiary,0.6,0.699,0.834,4,5,4,678.557,793.427,726.735,5,4,487.75,756.411,4.0,0.85,0.518,0.772,0.44,0.709,0.784,3,6
28,1022,49,48,2,M,756.102,4,5,"[2, 7, 10]","['0.24', '0.803', '0.928']",454.0,1294,1346,,790,751,981.0,Lower Secondary,0.24,0.803,0.928,1,1,,612.098,784.859,,2,3,375.541,288.666,1.0,0.34,0.376,0.994,0.45,0.307,0.94,3,6
29,1023,48,46,5,M,173.536,4,5,"[5, 10, 2]","['0.75', '0.217', '0.74']",361.0,1241,1370,,798,788,1064.0,Upper Tertiary,0.75,0.217,0.74,5,4,,251.477,550.106,,4,3,118.612,197.462,3.0,0.44,0.126,0.799,0.48,0.173,0.88,3,6
30,1024,47,44,3,F,696.225,4,5,"[2, 1, 9]","['0.36', '0.479', '0.892']",436.0,1203,1219,1343,826,767,992.0,Upper Secondary,0.36,0.479,0.892,2,2,2,107.263,72.336,2.51,4,5,749.822,796.367,5.0,0.76,0.844,0.926,0.8,0.697,0.986,3,6
31,1025,48,46,5,M,705.728,4,5,"[2, 1, 8]","['0.6', '0.485', '0.688']",337.0,,,,829,867,1050.0,Upper Tertiary,0.6,0.485,0.688,,,,,,,5,4,722.173,598.187,1.0,0.95,0.587,0.866,0.72,0.449,0.624,3,6
32,1026,59,68,2,M,230.209,4,6,"[4, 10, 7]","['0.28', '0.288', '0.821']",403.0,1220,1278,1352,812,810,965.0,Lower Secondary,0.28,0.288,0.821,2,3,4,500.608,506.179,482.006,1,3,74.956,698.005,3.0,0.2,0.061,0.796,0.39,0.698,0.964,3,6
33,1027,59,68,5,F,613.413,4,6,"[8, 1, 9]","['0.9', '0.422', '0.976']",479.0,1258,1315,1347,910,899,1089.0,Upper Tertiary,0.9,0.422,0.976,5,4,5,423.224,50.181,736.428,2,5,797.87,150.51,3.0,0.24,0.698,0.86,0.7,0.16,0.912,3,6
34,1028,58,66,2,M,50.262,4,6,"[2, 2, 2]","['0.24', '0.038', '0.742']",365.0,1243,1323,,776,764,1046.0,Lower Secondary,0.24,0.038,0.742,4,4,,269.879,431.945,,3,4,92.971,105.321,3.0,0.48,0.07,0.692,0.44,0.099,0.92,3,6
35,1029,56,62,3,M,66.962,4,6,"[1, 8, 3]","['0.33', '0.075', '0.856']",422.0,,,,893,885,979.0,Upper Secondary,0.33,0.075,0.856,,,,,,,4,3,3.772,475.4,4.0,0.44,0.003,0.862,0.57,0.327,0.856,3,6
