,AgentID,Step,Age,Edu_level,Gender,Income,Generation,Cohort,Weight,Capital,Brut,Child1,Child2,Mother,Father,Partner,Education,Cultural,Economic,Social,Child1_Edu,Child2_Edu,Child1_Income,Child2_Income,Mother_Edu,Father_Edu,Mother_Income,Father_Income,Mother_Cultural,Mother_Economic,Mother_Social,Father_Cultural,Father_Economic,Father_Social,Scenario,Replication
0,0,1,42,1,F,160.529,1,1,"[1, 6, 8]","['0.11', '0.161', '0.998']",462.0,,,,,110.0,Primary,0.11,0.161,0.998,,,,,,,,,,,,,,,2,6
1,1,0,59,2,F,151.405,1,1,"[5, 3, 8]","['0.3', '0.123', '0']",,,,,,,Lower Secondary,0.3,0.123,0,,,,,,,,,,,,,,,2,6
2,10,21,61,4,F,259.887,1,3,"[4, 7, 4]","['0.56', '0.276', '0.753']",362.0,590,674,,,350.0,Lower Tertiary,0.56,0.276,0.753,3,4,703.421,199.514,,,,,,,,,,,2,6
3,100,2,63,2,F,482.485,1,1,"[3, 7, 9]","['0.26', '0.513', '0.834']",362.0,,,,,,Lower Secondary,0.26,0.513,0.834,,,,,,,,,,,,,,,2,6
4,1000,54,64,3,M,146.412,4,6,"[4, 8, 1]","['0.42', '0.165', '0.961']",449.0,1184,1246,801,827,987.0,Upper Secondary,0.42,0.165,0.961,5,5,390.601,427.072,4,4,616.295,782.949,0.76,0.501,0.903,0.76,0.734,0.966,2,6
5,1001,51,56,2,M,1.444,4,5,"[6, 9, 9]","['0.32', '0.002', '0.816']",377.0,1287,1312,748,739,1130.0,Lower Secondary,0.32,0.002,0.816,5,4,508.926,305.248,1,5,794.649,633.946,0.18,0.944,0.926,0.8,0.436,0.998,2,6
6,1002,57,68,3,F,161.845,4,6,"[7, 3, 4]","['0.51', '0.131', '0.987']",457.0,1267,1304,801,827,967.0,Upper Secondary,0.51,0.131,0.987,5,3,713.765,765.376,4,4,616.295,782.949,0.76,0.501,0.903,0.76,0.734,0.966,2,6
7,1003,55,64,4,M,572.637,4,6,"[9, 5, 3]","['0.76', '0.537', '0.906']",416.0,1172,1232,793,740,1043.0,Lower Tertiary,0.76,0.537,0.906,5,4,735.89,596.803,4,4,724.009,643.615,0.52,0.543,0.804,0.48,0.563,0.711,2,6
8,1004,55,64,5,M,762.607,4,6,"[2, 6, 10]","['0.6', '0.763', '0.922']",423.0,,,823,816,,Upper Tertiary,0.6,0.763,0.922,,,,,3,3,725.503,600.926,0.42,0.862,0.596,0.57,0.451,0.293,2,6
9,1005,49,52,4,F,134.231,4,5,"[4, 8, 3]","['0.56', '0.151', '0.87']",400.0,1189,1256,817,711,978.0,Lower Tertiary,0.56,0.151,0.87,4,5,685.057,736.434,5,5,785.981,616.961,0.7,0.54,0.491,0.6,0.54,0.623,2,6
10,1006,54,62,4,M,792.764,5,6,"[3, 2, 4]","['0.52', '0.595', '0.475']",219.0,1328,1339,853,763,1159.0,Lower Tertiary,0.52,0.595,0.475,5,3,745.227,173.058,3,3,105.708,150.644,0.6,0.126,0.86,0.48,0.169,0.812,2,6
11,1007,58,70,3,F,127.738,4,6,"[8, 5, 3]","['0.54', '0.12', '0.933']",430.0,1165,1299,779,842,957.0,Upper Secondary,0.54,0.12,0.933,4,4,398.033,739.989,4,4,164.444,203.065,0.56,0.134,0.829,0.6,0.216,0.661,2,6
12,1008,49,52,3,F,484.125,4,5,"[1, 1, 6]","['0.33', '0.333', '0.872']",403.0,1202,1236,746,727,958.0,Upper Secondary,0.33,0.333,0.872,4,2,400.984,183.698,3,3,675.663,580.014,0.42,0.507,0.492,0.6,0.544,0.898,2,6
13,1009,54,62,2,M,603.773,4,6,"[7, 7, 6]","['0.34', '0.642', '0.835']",385.0,1181,1217,863,774,1118.0,Lower Secondary,0.34,0.642,0.835,5,4,698.586,561.511,2,2,711.06,501.638,0.28,0.489,0.994,0.38,0.376,0.989,2,6
