,AgentID,Step,Age,Edu_level,Gender,Income,Generation,Cohort,Weight,Capital,Brut,Child1,Child2,Child3,Mother,Father,Partner,Education,Cultural,Economic,Social,Child1_Edu,Child2_Edu,Child3_Edu,Child1_Income,Child2_Income,Child3_Income,Mother_Edu,Father_Edu,Mother_Income,Father_Income,Spouse_Edu,Mother_Cultural,Mother_Economic,Mother_Social,Father_Cultural,Father_Economic,Father_Social,Scenario,Replication
0,0,1,60,3,M,380.575,1,1,"[7, 10, 1]","['0.51', '0.476', '0.573']",279.0,,,,,,,Upper Secondary,0.51,0.476,0.573,,,,,,,,,,,,,,,,,,3,5
1,1,8,71,3,F,414.956,1,1,"[2, 2, 10]","['0.36', '0.311', '0.87']",408.0,,,,,,,Upper Secondary,0.36,0.311,0.87,,,,,,,,,,,,,,,,,,3,5
2,10,1,52,3,M,353.507,1,1,"[9, 9, 1]","['0.57', '0.42', '0.598']",272.0,,,,,,,Upper Secondary,0.57,0.42,0.598,,,,,,,,,,,,,,,,,,3,5
3,100,14,50,3,M,316.685,1,2,"[6, 1, 3]","['0.48', '0.218', '0.86']",398.0,,,,,,,Upper Secondary,0.48,0.218,0.86,,,,,,,,,,,,,,,,,,3,5
4,1000,46,40,5,F,732.842,4,5,"[6, 3, 9]","['0.8', '0.595', '0.965']",465.0,1228,1267,1312,721,693,857.0,Upper Tertiary,0.8,0.595,0.965,4,5,4,445.836,710.306,220.963,5,5,598.711,185.115,5.0,0.75,0.636,0.81,0.95,0.174,0.43,3,5
5,10000,499,10,4,F,200.204,46,47,"[8, 4, 9]","['0.72', '0.175', '0.982']",491.0,,,,9603,9524,9876.0,Lower Tertiary,0.72,0.175,0.982,,,,,,,4,5,126.711,506.717,1.0,0.76,0.119,0.831,0.55,0.38,0.916,3,5
6,10001,499,10,5,F,789.837,46,47,"[2, 6, 8]","['0.6', '0.79', '0.88']",439.0,,,,9627,9581,9904.0,Upper Tertiary,0.6,0.79,0.88,,,,,,,5,5,779.885,745.091,4.0,1.0,0.78,0.848,1.0,0.931,0.822,3,5
7,10002,499,10,5,M,274.837,46,47,"[9, 10, 9]","['0.95', '0.344', '0.81']",405.0,,,,9672,9579,,Upper Tertiary,0.95,0.344,0.81,,,,,,,4,3,371.912,232.975,,0.44,0.395,0.815,0.36,0.248,0.636,3,5
8,10003,499,10,2,M,749.32,47,48,"[3, 10, 2]","['0.26', '0.937', '0.886']",442.0,,,,9715,9660,,Lower Secondary,0.26,0.937,0.886,,,,,,,5,4,763.313,755.644,,0.55,0.859,0.992,0.68,0.803,0.99,3,5
9,10004,499,10,5,F,470.361,46,47,"[9, 7, 6]","['0.95', '0.5', '0.827']",411.0,,,,9617,9541,9961.0,Upper Tertiary,0.95,0.5,0.827,,,,,,,3,2,770.777,71.507,2.0,0.42,0.578,0.623,0.38,0.072,0.966,3,5
10,10005,499,10,4,M,754.309,46,47,"[5, 6, 5]","['0.6', '0.754', '0.695']",346.0,,,,9635,9531,,Lower Tertiary,0.6,0.754,0.695,,,,,,,3,4,726.652,592.339,,0.54,0.908,0.958,0.44,0.555,0.938,3,5
11,10006,499,10,4,M,771.628,46,47,"[9, 9, 9]","['0.76', '0.916', '0.774']",386.0,,,,9662,9578,,Lower Tertiary,0.76,0.916,0.774,,,,,,,4,5,774.949,643.044,,0.76,0.727,0.932,0.65,0.683,0.824,3,5
12,10007,499,10,5,M,723.085,46,47,"[3, 6, 5]","['0.65', '0.723', '0.696']",348.0,,,,9552,9459,,Upper Tertiary,0.65,0.723,0.696,,,,,,,4,4,546.01,738.615,,0.6,0.614,0.95,0.56,0.646,0.74,3,5
13,10008,499,8,2,F,103.707,46,47,"[7, 6, 9]","['0.34', '0.104', '0.704']",352.0,,,,9718,9615,9977.0,Lower Secondary,0.34,0.104,0.704,,,,,,,3,4,267.661,771.936,1.0,0.6,0.234,0.932,0.56,0.627,0.99,3,5
14,10009,499,8,4,F,769.489,46,47,"[9, 1, 7]","['0.76', '0.529', '0.719']",359.0,,,,9679,9597,9998.0,Lower Tertiary,0.76,0.529,0.719,,,,,,,5,4,616.883,717.878,5.0,0.85,0.733,0.686,0.48,0.852,0.49,3,5
