,AgentID,Step,Age,Edu_level,Gender,Income,Generation,Cohort,Weight,Capital,Brut,Child1,Child2,Mother,Father,Partner,Education,Cultural,Economic,Social,Child1_Edu,Child2_Edu,Child1_Income,Child2_Income,Mother_Edu,Father_Edu,Mother_Income,Father_Income,Mother_Cultural,Mother_Economic,Mother_Social,Father_Cultural,Father_Economic,Father_Social,Scenario,Replication
0,0,0,54,5,M,695.793,1,1,"[4, 10, 1]","['0.7', '0.87', '0']",,,,,,,Upper Tertiary,0.7,0.87,0,,,,,,,,,,,,,,,3,6
1,1,16,53,1,M,237.82,1,2,"[9, 8, 10]","['0.19', '0.268', '0.933']",432.0,518,559,,,383.0,Primary,0.19,0.268,0.933,1,1,735.007,705.301,,,,,,,,,,,3,6
2,10,13,52,4,F,260.205,1,2,"[5, 3, 3]","['0.6', '0.211', '0.866']",420.0,500,589,,,345.0,Lower Tertiary,0.6,0.211,0.866,5,5,576.407,252.267,,,,,,,,,,,3,6
3,100,1,58,1,F,142.964,1,1,"[10, 2, 4]","['0.2', '0.107', '0.968']",425.0,,,,,,Primary,0.2,0.107,0.968,,,,,,,,,,,,,,,3,6
4,1000,55,64,3,F,734.606,5,6,"[4, 7, 8]","['0.42', '0.781', '0.546']",206.0,1190,1223,798,845,1034.0,Upper Secondary,0.42,0.781,0.546,5,4,702.311,774.456,5,4,787.673,654.467,0.55,0.837,0.674,0.52,0.777,0.713,3,6
5,1001,58,70,5,M,600.739,4,6,"[1, 7, 8]","['0.55', '0.638', '0.646']",244.0,1166,1196,786,748,976.0,Upper Tertiary,0.55,0.638,0.646,5,5,793.494,797.919,5,4,690.295,11.889,0.95,0.518,0.359,0.68,0.011,0.178,3,6
6,1002,38,30,5,M,745.836,4,5,"[10, 10, 5]","['1.0', '0.932', '0.256']",97.0,1241,1266,777,815,1076.0,Upper Tertiary,1.0,0.932,0.256,5,5,794.143,799.74,5,4,700.707,195.339,0.75,0.613,0.988,0.8,0.232,0.752,3,6
7,1003,40,34,4,F,631.489,4,5,"[10, 6, 4]","['0.8', '0.631', '0.679']",258.0,1181,1222,824,819,1033.0,Lower Tertiary,0.8,0.631,0.679,5,4,517.162,731.711,5,2,251.916,443.568,0.7,0.315,0.912,0.26,0.333,0.968,3,6
8,1004,40,34,4,M,799.151,4,5,"[8, 2, 8]","['0.72', '0.599', '0.992']",378.0,1180,1249,836,825,987.0,Lower Tertiary,0.72,0.599,0.992,4,4,172.737,635.536,4,5,632.087,798.236,0.76,0.79,0.665,0.75,0.898,0.517,3,6
9,1005,49,52,4,F,601.929,4,5,"[2, 7, 5]","['0.48', '0.64', '0.864']",330.0,1188,1234,789,887,1059.0,Lower Tertiary,0.48,0.64,0.864,5,3,788.195,364.212,5,4,751.895,787.225,0.8,0.846,0.533,0.76,0.59,0.974,3,6
10,1006,56,66,3,F,33.83,4,6,"[8, 7, 8]","['0.54', '0.036', '0.93']",356.0,,,776,749,965.0,Upper Secondary,0.54,0.036,0.93,,,,,4,3,542.477,322.936,0.56,0.441,0.335,0.33,0.343,0.471,3,6
11,1007,57,68,4,M,103.836,4,6,"[1, 4, 8]","['0.44', '0.091', '0.927']",355.0,1205,1293,823,838,1028.0,Lower Tertiary,0.44,0.091,0.927,4,3,636.363,606.234,5,4,579.007,739.712,0.9,0.579,0.758,0.52,0.601,0.847,3,6
12,1008,56,66,2,F,280.721,4,6,"[3, 8, 5]","['0.26', '0.316', '0.964']",370.0,1183,1233,746,827,1057.0,Lower Secondary,0.26,0.316,0.964,1,1,33.711,176.436,3,5,512.991,621.504,0.51,0.481,0.998,0.6,0.544,0.951,3,6
13,1009,55,64,4,M,774.28,4,6,"[4, 3, 10]","['0.56', '0.629', '0.958']",369.0,1176,1217,775,757,996.0,Lower Tertiary,0.56,0.629,0.958,5,5,553.565,763.145,4,3,768.493,758.388,0.52,0.913,0.958,0.42,0.853,0.895,3,6
14,101,0,52,2,M,475.656,1,1,"[9, 5, 10]","['0.38', '0.446', '0']",,,,,,,Lower Secondary,0.38,0.446,0,,,,,,,,,,,,,,,3,6
15,1010,58,70,2,F,100.402,4,6,"[3, 5, 7]","['0.26', '0.094', '0.72']",278.0,1198,1243,745,826,990.0,Lower Secondary,0.26,0.094,0.72,1,3,66.156,368.06,5,4,737.307,698.611,0.95,0.553,0.98,0.52,0.699,0.99,3,6
16,1011,61,76,5,M,597.725,4,6,"[4, 3, 7]","['0.7', '0.486', '0.951']",368.0,1246,1276,806,842,1041.0,Upper Tertiary,0.7,0.486,0.951,1,1,251.544,297.661,5,4,728.071,598.007,0.8,0.546,0.998,0.72,0.673,0.697,3,6
