,AgentID,Step,Age,Edu_level,Gender,Income,Generation,Cohort,Weight,Capital,Brut,Child1,Child2,Mother,Father,Partner,Education,Cultural,Economic,Social,Child1_Edu,Child2_Edu,Child1_Income,Child2_Income,Mother_Edu,Father_Edu,Mother_Income,Father_Income,Spouse_Edu,Mother_Cultural,Mother_Economic,Mother_Social,Father_Cultural,Father_Economic,Father_Social,Scenario,Replication
0,0,0,53,1,F,323.432,1,1,"[5, 7, 9]","['0.15', '0.344', '0']",,,,,,,Primary,0.15,0.344,0,,,,,,,,,,,,,,,,1,2
1,1,1,56,1,M,295.271,1,1,"[7, 6, 1]","['0.17', '0.295', '0.934']",442.0,,,,,,Primary,0.17,0.295,0.934,,,,,,,,,,,,,,,,1,2
2,10,13,64,5,M,629.607,1,2,"[9, 3, 5]","['0.95', '0.512', '0.267']",124.0,,,,,26.0,Upper Tertiary,0.95,0.512,0.267,,,,,,,,,5.0,,,,,,,1,2
3,100,14,50,4,M,523.548,1,2,"[7, 2, 6]","['0.68', '0.393', '0.527']",248.0,,,,,59.0,Lower Tertiary,0.68,0.393,0.527,,,,,,,,,3.0,,,,,,,1,2
4,1000,59,60,4,M,434.013,4,6,"[10, 2, 6]","['0.8', '0.326', '0.856']",421.0,1175,1253,784,841,1017.0,Lower Tertiary,0.8,0.326,0.856,3,4,166.6,756.373,2,2,58.647,224.119,2.0,0.28,0.07,0.33,0.34,0.168,0.248,1,2
5,1001,52,46,1,M,37.065,4,5,"[9, 3, 4]","['0.19', '0.03', '0.862']",424.0,1221,1297,833,800,1082.0,Primary,0.19,0.03,0.862,1,1,548.346,790.478,1,2,151.761,80.249,1.0,0.18,0.133,0.6,0.26,0.07,0.566,1,2
6,1002,60,62,1,M,706.207,4,6,"[1, 9, 2]","['0.11', '0.839', '0.548']",270.0,1222,1340,915,884,1059.0,Primary,0.11,0.839,0.548,1,1,730.599,753.39,2,1,721.585,278.645,2.0,0.26,0.496,0.552,0.13,0.348,0.94,1,2
7,1003,61,64,2,F,117.933,4,6,"[10, 5, 5]","['0.4', '0.111', '0.289']",142.0,1199,1321,902,872,963.0,Lower Secondary,0.4,0.111,0.289,1,2,309.017,467.112,2,3,337.085,231.821,2.0,0.32,0.295,0.345,0.33,0.217,0.199,1,2
8,1004,59,60,1,M,633.326,4,6,"[8, 7, 6]","['0.18', '0.673', '0.998']",490.0,1239,1267,813,847,1050.0,Primary,0.18,0.673,0.998,1,1,787.1,731.174,1,1,388.484,364.556,1.0,0.16,0.316,0.541,0.12,0.387,0.639,1,2
9,1005,61,64,2,M,768.247,4,6,"[8, 8, 7]","['0.36', '0.864', '0.724']",356.0,1223,1331,905,869,1067.0,Lower Secondary,0.36,0.864,0.724,2,1,783.466,787.057,2,2,175.0,567.148,2.0,0.4,0.153,0.772,0.36,0.709,0.639,1,2
