,Scenario,Cohort,Probability_mean,Probability_median,Probability_var,Probability_sem,Probability_std,ci95_hi,ci95_lo
0,1,3,0.36551222847345954,0.3476719087264878,0.0034017306939359638,0.018443781320369106,0.05832435763843408,0.401662039861383,0.3293624170855361
1,1,4,0.425818725983749,0.4204014939309057,0.0006174490164831301,0.007857792415705127,0.024848521414424847,0.44121999911853105,0.4104174528489669
2,1,5,0.3807623172123141,0.3936203645505971,0.001993467627983654,0.014119021311633655,0.04464826567722036,0.4084355989831161,0.35308903544151216
3,1,6,0.40854662595298186,0.38571428571428573,0.004744755737301251,0.02178246023134497,0.06888218737308835,0.451240248006418,0.3658530038995457
4,1,7,0.3554343035228601,0.3712060166532366,0.0022073898391132838,0.014857287232578105,0.04698286750628663,0.38455458649871316,0.32631402054700703
5,1,8,0.3730231546369468,0.36741783201211364,0.004765242101742131,0.02182943449048126,0.069030733023358,0.41580884623829006,0.33023746303560353
6,1,9,0.38514323151102825,0.3858436007040483,0.00402164106305652,0.020054029677490058,0.0634164100454805,0.42444912967890874,0.34583733334314776
7,1,10,0.3819622052928543,0.36972147349505835,0.006895695430681608,0.026259656187165907,0.08304032412437712,0.43343113141969947,0.3304932791660091
8,1,11,0.4193620504494355,0.42318029115341543,0.0017749251714685279,0.013322631765039998,0.04212986080523561,0.44547440870891386,0.3932496921899571
9,1,12,0.398683369726424,0.4012987012987013,0.005076334284036417,0.02253072187932827,0.07124839846646672,0.4428435846099074,0.35452315484294056
10,1,13,0.3603202818465582,0.3478443449048152,0.004469625340468578,0.021141488453911134,0.06685525664051091,0.401757599216224,0.31888296447689235
11,1,14,0.34017118647203914,0.3463773069036227,0.00421322986866312,0.020526153728020063,0.06490939738329975,0.3804024477789585,0.2999399251651198
12,1,15,0.3426999108049897,0.33392857142857146,0.0023846910929166184,0.015442445055484635,0.04883329901733671,0.3729671031137396,0.31243271849623977
13,1,16,0.4021449898403353,0.3908641975308642,0.002613648150009429,0.016166781219554584,0.051123851087427175,0.4338318810306623,0.37045809865000834
14,1,17,0.37159117573379874,0.362928007023705,0.0034128958080160334,0.018474024488497446,0.058419994933379044,0.4078002637312537,0.33538208773634376
15,1,18,0.36283261531097516,0.3737323523563333,0.003112855157913993,0.01764328528906675,0.0557929669215932,0.397413454477546,0.3282517761444043
16,1,19,0.4067025735585553,0.4389343604557856,0.012053312557663457,0.0347178809227514,0.10978757925040272,0.47474962016714806,0.3386555269499626
17,1,20,0.3680714473693739,0.3761792452830189,0.0030623469763803074,0.01749956278419637,0.05533847645517816,0.4023705904263988,0.33377230431234906
18,1,21,0.38277912472271647,0.3881606470506206,0.0013905373883012257,0.011792104936359859,0.037289910006612054,0.4058916503979818,0.35966659904745113
19,1,22,0.3889735486284916,0.39032073310423826,0.0026936803028424073,0.016412435233207796,0.05190067728693343,0.42114192168557885,0.35680517557140434
20,1,23,0.3616230032632193,0.38166023166023166,0.003984298668646501,0.019960708075232453,0.06312130122745016,0.4007459910906749,0.3225000154357637
21,1,24,0.37854154809148843,0.38282828282828285,0.007372327639089051,0.027152030566955854,0.08586225969009348,0.4317595280027219,0.325323568180255
22,1,25,0.35302823909166886,0.3567503924646782,0.0014390589680364201,0.011996078392693255,0.03793493071084248,0.3765405527413476,0.3295159254419901
23,1,26,0.3487743881926971,0.34408602150537637,0.003150369956026324,0.017749281551731395,0.05612815653507894,0.3835629800340907,0.3139857963513036
24,1,27,0.3561692121110321,0.3848214285714286,0.004178231986537325,0.020440724024694733,0.06463924494095924,0.39623303119943376,0.3161053930226304
25,1,28,0.3699851484041135,0.38518599323660957,0.005087905441656728,0.022556385884393643,0.07132955517635539,0.41419566473752506,0.32577463207070195
26,1,29,0.41216046473752677,0.41349206349206347,0.00310651737217604,0.017625315237396577,0.055736140628644536,0.4467060826028241,0.37761484687222946
27,1,30,0.35542657306110315,0.3574346405228758,0.0019934743808166563,0.0141190452255691,0.044648341299724184,0.38309990170321856,0.32775324441898773
28,1,31,0.3964253162943418,0.41730317273795536,0.006465458638828356,0.025427266150391307,0.08040807570653806,0.44626275794910875,0.34658787463957486
29,1,32,0.39959723547792475,0.4029433008306248,0.0006325823605113916,0.007953504639537161,0.025151190041653927,0.4151861045714176,0.3840083663844319
30,1,33,0.35296357918572924,0.3514998514998515,0.0023548638883374973,0.015345565771054183,0.04852693982044919,0.38304088809699544,0.32288627027446304
31,1,34,0.3770901023451848,0.36444308445532436,0.0033347509985342497,0.01826130060684137,0.057747302954633734,0.4128822515345939,0.3412979531557757
32,1,35,0.38201627469583477,0.37487781036168133,0.004746562033313653,0.02178660605352209,0.06889529761394209,0.42471802256073804,0.3393145268309315
33,1,36,0.3952260711087801,0.39387755102040817,0.0034463668856123584,0.018564393029701667,0.058705765352411156,0.43161228144699537,0.35883986077056484
34,1,37,0.35212332128572355,0.35615808823529416,0.007269864940281235,0.026962687069877204,0.0852635029791835,0.40497018794268286,0.29927645462876423
35,1,38,0.37358436719681054,0.3684107002360346,0.0013079876500017528,0.011436728771819995,0.03616611190053132,0.39600035558957775,0.35116837880404334
36,1,39,0.39099177802942,0.4142156862745098,0.0026394581294172225,0.016246409232249515,0.05137565697309595,0.422834740124629,0.35914881593421094
37,1,40,0.372215118202813,0.36299864773495605,0.0028589866992662794,0.016908538373455816,0.05346949316447912,0.4053558534147864,0.3390743829908396
38,1,41,0.3734613325004851,0.3807026307026307,0.006385434288706577,0.025269416868433224,0.0799089124485284,0.4229893895626142,0.3239332754383559
