,AgentID,Step,Age,Edu_level,Gender,Income,Generation,Cohort,Weight,Capital,Brut,Child1,Child2,Mother,Father,Partner,Education,Cultural,Economic,Social,Child1_Edu,Child2_Edu,Child1_Income,Child2_Income,Mother_Edu,Father_Edu,Mother_Income,Father_Income,Mother_Cultural,Mother_Economic,Mother_Social,Father_Cultural,Father_Economic,Father_Social,Scenario,Replication
0,0,27,71,4,F,615.757,1,3,"[5, 10, 1]","['0.6', '0.77', '0.303']",143.0,710,724,,,360.0,Lower Tertiary,0.6,0.77,0.303,5,3,790.632,761.813,,,,,,,,,,,2,2
1,1,0,40,1,F,623.956,1,1,"[1, 6, 6]","['0.11', '0.624', '0']",,,,,,,Primary,0.11,0.624,0,,,,,,,,,,,,,,,2,2
2,10,9,56,5,M,660.021,1,2,"[8, 10, 4]","['0.9', '0.825', '0.056']",27.0,507,601,,,146.0,Upper Tertiary,0.9,0.825,0.056,5,4,781.244,789.061,,,,,,,,,,,2,2
3,100,9,50,2,F,211.905,1,2,"[10, 8, 4]","['0.4', '0.238', '0.84']",399.0,,,,,385.0,Lower Secondary,0.4,0.238,0.84,,,,,,,,,,,,,,,2,2
4,1000,53,56,5,F,596.405,4,5,"[2, 2, 6]","['0.6', '0.447', '0.888']",442.0,1227,1300,852,756,1015.0,Upper Tertiary,0.6,0.447,0.888,5,4,767.673,42.895,4,5,712.815,572.361,0.6,0.535,0.961,0.7,0.537,0.797,2,2
5,1001,58,66,5,M,781.022,4,6,"[4, 7, 7]","['0.7', '0.83', '0.743']",370.0,1203,1309,737,721,1072.0,Upper Tertiary,0.7,0.83,0.743,5,4,721.922,675.334,5,5,790.129,768.855,0.8,0.938,0.482,0.95,0.865,0.792,2,2
6,1002,61,72,4,F,701.667,4,6,"[10, 1, 3]","['0.8', '0.482', '0.986']",488.0,1187,1238,908,883,1007.0,Lower Tertiary,0.8,0.482,0.986,1,4,196.23,741.027,4,4,160.982,660.354,0.56,0.141,0.983,0.52,0.784,0.795,2,2
7,1003,57,64,5,F,370.904,4,6,"[1, 4, 7]","['0.55', '0.325', '0.954']",472.0,1183,1352,849,793,996.0,Upper Tertiary,0.55,0.325,0.954,2,4,120.797,171.52,5,5,634.984,569.507,1.0,0.556,0.8,0.9,0.534,0.61,2,2
8,1004,55,60,3,F,618.956,4,5,"[3, 6, 1]","['0.39', '0.619', '0.978']",485.0,1169,1243,843,881,960.0,Upper Secondary,0.39,0.619,0.978,3,2,480.064,239.48,3,3,306.596,696.126,0.57,0.345,0.606,0.6,0.696,0.991,2,2
9,1005,52,54,3,M,796.463,4,5,"[9, 8, 6]","['0.57', '0.896', '0.804']",399.0,1188,1343,889,814,989.0,Upper Secondary,0.57,0.896,0.804,4,5,693.146,703.956,3,2,455.039,790.441,0.6,0.483,0.991,0.3,0.988,0.909,2,2
