,AgentID,Step,Age,Edu_level,Gender,Income,Generation,Cohort,Weight,Capital,Brut,Child1,Child2,Mother,Father,Partner,Education,Cultural,Economic,Social,Child1_Edu,Child2_Edu,Child1_Income,Child2_Income,Mother_Edu,Father_Edu,Mother_Income,Father_Income,Spouse_Edu,Mother_Cultural,Mother_Economic,Mother_Social,Father_Cultural,Father_Economic,Father_Social,Scenario,Replication
0,0,0,59,3,M,485.191,1,1,"[4, 4, 5]","['0.42', '0.425', '0']",,,,,,,Upper Secondary,0.42,0.425,0,,,,,,,,,,,,,,,,3,9
1,1,12,60,3,M,329.038,1,2,"[5, 8, 10]","['0.45', '0.37', '0.7']",325.0,,,,,425.0,Upper Secondary,0.45,0.37,0.7,,,,,,,,,2.0,,,,,,,3,9
2,10,12,53,5,M,282.656,1,2,"[5, 8, 5]","['0.75', '0.318', '0.638']",298.0,719,,,,139.0,Upper Tertiary,0.75,0.318,0.638,2,,639.819,,,,,,4.0,,,,,,,3,9
3,100,16,69,5,F,621.817,1,2,"[3, 5, 5]","['0.65', '0.583', '0.34']",158.0,675,,,,308.0,Upper Tertiary,0.65,0.583,0.34,3,,737.364,,,,,,4.0,,,,,,,3,9
4,1000,57,62,2,F,448.615,4,6,"[1, 6, 3]","['0.22', '0.449', '0.522']",253.0,1166,1234,851,815,969.0,Lower Secondary,0.22,0.449,0.522,1,1,317.499,491.12,2,1,677.075,583.157,1.0,0.36,0.465,0.531,0.18,0.51,0.517,3,9
5,1001,53,54,3,F,507.278,4,5,"[3, 9, 9]","['0.39', '0.602', '0.548']",266.0,1165,1194,740,733,952.0,Upper Secondary,0.39,0.602,0.548,2,1,771.422,787.623,4,1,127.445,102.007,1.0,0.52,0.127,0.587,0.11,0.108,0.565,3,9
6,1002,55,58,1,M,0.686,4,6,"[1, 8, 1]","['0.11', '0.001', '0.649']",315.0,,,762,744,1077.0,Primary,0.11,0.001,0.649,,,,,5,3,766.246,457.305,1.0,0.85,0.575,0.793,0.6,0.429,0.299,3,9
7,1003,48,44,1,F,20.823,4,5,"[6, 8, 4]","['0.16', '0.023', '0.222']",108.0,1170,1184,880,845,1010.0,Primary,0.16,0.023,0.222,1,2,21.386,621.766,2,1,114.384,176.661,2.0,0.28,0.1,0.694,0.18,0.188,0.506,3,9
8,1004,56,60,1,F,146.336,4,6,"[10, 5, 6]","['0.2', '0.137', '0.885']",431.0,1178,1222,796,805,989.0,Primary,0.2,0.137,0.885,1,1,558.525,455.76,1,2,680.66,590.845,1.0,0.17,0.553,0.729,0.22,0.554,0.588,3,9
9,1005,54,56,2,M,665.818,4,6,"[10, 3, 2]","['0.4', '0.541', '0.596']",291.0,1209,1260,887,842,1053.0,Lower Secondary,0.4,0.541,0.596,1,1,17.408,8.686,2,1,696.617,652.393,1.0,0.3,0.61,0.868,0.18,0.693,0.542,3,9
10,1006,56,60,1,M,115.181,4,6,"[4, 8, 3]","['0.14', '0.13', '0.648']",317.0,1237,1252,758,714,1054.0,Primary,0.14,0.13,0.648,1,1,646.113,567.89,2,1,59.203,415.604,1.0,0.24,0.067,0.837,0.15,0.286,0.624,3,9
11,1007,58,64,2,F,63.105,4,6,"[6, 3, 1]","['0.32', '0.051', '0.693']",338.0,1152,1229,906,886,964.0,Lower Secondary,0.32,0.051,0.693,1,2,109.578,492.817,2,3,437.774,792.281,1.0,0.22,0.383,0.674,0.39,0.644,0.735,3,9
12,1008,56,60,1,F,789.29,5,6,"[4, 9, 8]","['0.14', '0.937', '0.998']",487.0,1171,1226,788,801,1066.0,Primary,0.14,0.937,0.998,3,3,792.709,796.218,2,1,752.189,728.765,3.0,0.38,0.94,0.869,0.19,0.683,0.887,3,9
13,1009,46,40,1,M,448.482,4,5,"[9, 9, 7]","['0.19', '0.533', '0.774']",377.0,1193,1259,807,809,1082.0,Primary,0.19,0.533,0.774,1,2,596.708,656.735,1,2,229.42,479.52,2.0,0.19,0.287,0.405,0.24,0.33,0.371,3,9
14,101,16,55,5,M,611.598,1,2,"[5, 7, 1]","['0.75', '0.65', '0.235']",110.0,563,684,,,92.0,Upper Tertiary,0.75,0.65,0.235,4,2,664.657,552.892,,,,,4.0,,,,,,,3,9
15,1010,56,60,2,M,310.639,4,6,"[5, 3, 10]","['0.3', '0.252', '0.232']",113.0,1170,1184,781,726,1003.0,Lower Secondary,0.3,0.252,0.232,1,2,21.386,621.766,1,2,77.172,168.139,1.0,0.11,0.087,0.648,0.38,0.147,0.551,3,9
16,1011,52,52,1,M,171.434,4,5,"[1, 7, 3]","['0.11', '0.182', '0.303']",148.0,1214,1261,774,727,1029.0,Primary,0.11,0.182,0.303,1,1,205.275,335.658,2,1,436.049,721.85,1.0,0.4,0.382,0.33,0.12,0.496,0.343,3,9
17,1012,54,56,2,M,63.382,4,6,"[5, 3, 1]","['0.3', '0.051', '0.425']",207.0,,,763,755,1052.0,Lower Secondary,0.3,0.051,0.425,,,,,2,3,171.704,76.45,1.0,0.38,0.15,0.953,0.42,0.057,0.955,3,9
18,1013,48,44,2,M,638.725,4,5,"[8, 8, 10]","['0.36', '0.719', '0.848']",414.0,1131,1173,828,779,974.0,Lower Secondary,0.36,0.719,0.848,2,2,764.402,705.476,2,1,94.322,62.195,1.0,0.36,0.118,0.459,0.17,0.058,0.478,3,9
19,1014,47,42,1,F,636.038,4,5,"[4, 7, 9]","['0.14', '0.676', '0.587']",287.0,1228,1243,879,824,991.0,Primary,0.14,0.676,0.587,1,2,783.531,726.742,1,1,785.31,186.48,2.0,0.19,0.589,0.763,0.18,0.163,0.558,3,9
20,1015,54,56,1,M,518.57,4,6,"[6, 3, 4]","['0.16', '0.421', '0.143']",70.0,1177,1221,816,813,1057.0,Primary,0.16,0.421,0.143,1,1,604.928,428.541,3,1,374.73,419.815,1.0,0.42,0.422,0.701,0.12,0.446,0.698,3,9
21,1016,64,76,3,M,300.839,4,6,"[6, 6, 8]","['0.48', '0.301', '0.813']",399.0,1139,1174,863,766,992.0,Upper Secondary,0.48,0.301,0.813,1,1,84.344,141.526,1,3,153.191,351.355,1.0,0.19,0.163,0.94,0.57,0.307,0.943,3,9
22,1017,47,42,1,M,448.116,4,5,"[8, 7, 1]","['0.18', '0.476', '0.236']",116.0,1156,1204,775,736,1059.0,Primary,0.18,0.476,0.236,1,1,439.635,472.419,2,1,170.766,58.34,1.0,0.22,0.213,0.849,0.18,0.062,0.998,3,9
23,1018,55,58,2,M,755.931,4,6,"[7, 4, 2]","['0.34', '0.661', '0.636']",313.0,1146,1218,861,769,987.0,Lower Secondary,0.34,0.661,0.636,1,2,96.031,618.16,1,2,536.333,550.095,1.0,0.12,0.67,0.434,0.4,0.653,0.823,3,9
